frame,audio_rms,audio_onset
90,0.028217975,1.6707531
91,0.030672183,1.0834557
92,0.033976365,0.47654656
93,0.034680925,0.516339
94,0.03526077,0.67126733
95,0.0349064,0.99479353
96,0.032782204,1.1936685
97,0.029490717,1.2247839
98,0.027633294,1.3289981
99,0.027917834,1.1174822
100,0.027401425,0.9942024
101,0.02675862,0.9402795
102,0.026764441,0.91892475
103,0.02763251,0.9670788
104,0.027860587,0.82474184
105,0.03126808,0.8982815
106,0.037081666,1.1615444
107,0.04281771,1.4147167
108,0.05094499,1.0697995
109,0.054196335,1.3949105
110,0.05455142,1.6153996
111,0.052917942,1.4446659
112,0.049005378,1.136997
113,0.040213663,1.1729938
114,0.036214236,1.0067712
115,0.034565616,0.8255964
116,0.032835778,0.8326285
117,0.034756146,1.0166526
118,0.038629252,1.4014403
119,0.041608103,1.2527751
120,0.043546516,0.9274637
121,0.04536779,1.2502153
122,0.047960315,1.2510077
123,0.051801883,1.4496977
124,0.0559716,1.5699309
125,0.059936963,1.5979843
126,0.063545994,1.9291633
127,0.066372946,1.5252861
128,0.06928202,1.125284
129,0.07063838,0.9752
130,0.071151696,1.1326587
131,0.088177875,0.857029
132,0.09288205,2.0190167
133,0.095267,2.5359678
134,0.09864864,2.586275
135,0.10395424,3.3548748
136,0.091160215,1.3748277
137,0.087150805,0.8215928
138,0.08469024,0.9515647
139,0.07965625,1.113542
140,0.07172707,0.56650454
141,0.06898317,0.74711645
142,0.066283666,0.89369607
143,0.06348078,0.8561187
144,0.061209235,0.6273617
145,0.06164542,0.66279113
146,0.059359692,0.78208244
147,0.057564765,0.819722
148,0.056231048,0.83782077
149,0.053714532,1.0255044
150,0.058993842,0.6685055
151,0.06368597,0.86191785
152,0.066469006,0.9661141
153,0.07044341,0.894124
154,0.089273885,1.6681207
155,0.11151737,1.2772028
156,0.1211971,1.1374224
157,0.12474756,1.4800581
158,0.12954332,2.161421
159,0.1205813,1.3738248
160,0.101699784,0.8757248
161,0.09240595,0.7317688
162,0.091372505,0.78471375
163,0.08484698,0.6991951
164,0.086246476,0.8416143
165,0.08936434,0.8269567
166,0.089263074,0.7919528
167,0.08511633,0.8027107
168,0.08490035,0.7768048
169,0.08280039,0.88282984
170,0.07627075,0.77562076
171,0.07001835,0.73645306
172,0.068910316,1.0666852
173,0.066420354,1.2218658
174,0.063289374,0.8602378
175,0.05935045,0.58293444
176,0.05551798,0.6018402
177,0.05368246,0.9351907
178,0.048908647,1.0410045
179,0.045077972,0.80247086
180,0.041478645,0.73451835
181,0.037094306,0.96987957
182,0.02983993,0.6853993
183,0.029027073,0.6535231
184,0.029027073,0.6535231
185,0.029027073,0.6535231
186,0.029027073,0.6535231
187,0.029027073,0.6535231
188,0.029027073,0.6535231
189,0.029027073,0.6535231
190,0.029027073,0.6535231
191,0.029027073,0.6535231
192,0.029027073,0.6535231
193,0.029027073,0.6535231
194,0.029027073,0.6535231
195,0.029027073,0.6535231
196,0.029027073,0.6535231
197,0.029027073,0.6535231
198,0.029027073,0.6535231
199,0.029027073,0.6535231
200,0.029027073,0.6535231
201,0.029027073,0.6535231
202,0.029027073,0.6535231
203,0.029027073,0.6535231
204,0.029027073,0.6535231
205,0.029027073,0.6535231
206,0.029027073,0.6535231
207,0.029027073,0.6535231
208,0.029027073,0.6535231
209,0.029027073,0.6535231
210,0.029027073,0.6535231
211,0.029027073,0.6535231
212,0.029027073,0.6535231
213,0.029027073,0.6535231
214,0.029027073,0.6535231
215,0.029027073,0.6535231
